Tick: 0, energy: 4968.33, penergy: -397.709, kenergy: 5366.04
Tick: 1, energy: 4969.37, penergy: -397.725, kenergy: 5367.1
Tick: 2, energy: 4969.37, penergy: -397.748, kenergy: 5367.12
Tick: 3, energy: 4969.36, penergy: -397.78, kenergy: 5367.14
Tick: 4, energy: 4969.36, penergy: -397.819, kenergy: 5367.18
Tick: 5, energy: 4969.36, penergy: -397.866, kenergy: 5367.22
Tick: 6, energy: 4969.35, penergy: -397.921, kenergy: 5367.27
Tick: 7, energy: 4969.35, penergy: -397.983, kenergy: 5367.33
Tick: 8, energy: 4969.34, penergy: -398.054, kenergy: 5367.4
Tick: 9, energy: 4969.34, penergy: -398.133, kenergy: 5367.47
Tick: 10, energy: 4969.34, penergy: -398.219, kenergy: 5367.55
Tick: 11, energy: 4969.33, penergy: -398.313, kenergy: 5367.65
Tick: 12, energy: 4969.33, penergy: -398.415, kenergy: 5367.74
Tick: 13, energy: 4969.32, penergy: -398.525, kenergy: 5367.85
Tick: 14, energy: 4969.32, penergy: -398.643, kenergy: 5367.96
Tick: 15, energy: 4969.32, penergy: -398.769, kenergy: 5368.09
Tick: 16, energy: 4969.31, penergy: -398.903, kenergy: 5368.22
Tick: 17, energy: 4969.31, penergy: -399.045, kenergy: 5368.35
Tick: 18, energy: 4969.3, penergy: -399.195, kenergy: 5368.5
Tick: 19, energy: 4969.3, penergy: -399.352, kenergy: 5368.65
Tick: 20, energy: 4969.3, penergy: -399.518, kenergy: 5368.81
Tick: 21, energy: 4969.29, penergy: -399.692, kenergy: 5368.98
Tick: 22, energy: 4969.29, penergy: -399.873, kenergy: 5369.16
Tick: 23, energy: 4969.28, penergy: -400.063, kenergy: 5369.35
Tick: 24, energy: 4969.28, penergy: -400.261, kenergy: 5369.54
Tick: 25, energy: 4969.28, penergy: -400.466, kenergy: 5369.74
Tick: 26, energy: 4969.27, penergy: -400.68, kenergy: 5369.95
Tick: 27, energy: 4969.27, penergy: -400.902, kenergy: 5370.17
Tick: 28, energy: 4969.26, penergy: -401.132, kenergy: 5370.4
Tick: 29, energy: 4969.26, penergy: -401.37, kenergy: 5370.63
Tick: 30, energy: 4969.26, penergy: -401.617, kenergy: 5370.87
Tick: 31, energy: 4969.25, penergy: -401.871, kenergy: 5371.12
Tick: 32, energy: 4969.25, penergy: -402.134, kenergy: 5371.38
Tick: 33, energy: 4969.24, penergy: -402.404, kenergy: 5371.65
Tick: 34, energy: 4969.24, penergy: -402.683, kenergy: 5371.92
Tick: 35, energy: 4969.24, penergy: -402.971, kenergy: 5372.21
Tick: 36, energy: 4969.23, penergy: -403.266, kenergy: 5372.5
Tick: 37, energy: 4969.23, penergy: -403.57, kenergy: 5372.8
Tick: 38, energy: 4969.22, penergy: -403.882, kenergy: 5373.11
Tick: 39, energy: 4969.22, penergy: -404.202, kenergy: 5373.42
Tick: 40, energy: 4969.21, penergy: -404.531, kenergy: 5373.75
Tick: 41, energy: 4969.21, penergy: -404.868, kenergy: 5374.08
Tick: 42, energy: 4969.21, penergy: -405.214, kenergy: 5374.42
Tick: 43, energy: 4969.2, penergy: -405.568, kenergy: 5374.77
Tick: 44, energy: 4969.2, penergy: -405.93, kenergy: 5375.13
Tick: 45, energy: 4969.19, penergy: -406.301, kenergy: 5375.49
Tick: 46, energy: 4969.19, penergy: -406.681, kenergy: 5375.87
Tick: 47, energy: 4969.19, penergy: -407.069, kenergy: 5376.25
Tick: 48, energy: 4969.18, penergy: -407.465, kenergy: 5376.65
Tick: 49, energy: 4969.18, penergy: -407.87, kenergy: 5377.05
Tick: 50, energy: 4969.17, penergy: -408.284, kenergy: 5377.46
Tick: 51, energy: 4969.17, penergy: -408.707, kenergy: 5377.87
Tick: 52, energy: 4969.16, penergy: -409.138, kenergy: 5378.3
Tick: 53, energy: 4969.16, penergy: -409.577, kenergy: 5378.74
Tick: 54, energy: 4969.15, penergy: -410.026, kenergy: 5379.18
Tick: 55, energy: 4969.15, penergy: -410.484, kenergy: 5379.63
Tick: 56, energy: 4969.15, penergy: -410.95, kenergy: 5380.1
Tick: 57, energy: 4969.14, penergy: -411.425, kenergy: 5380.57
Tick: 58, energy: 4969.14, penergy: -411.909, kenergy: 5381.05
Tick: 59, energy: 4969.13, penergy: -412.402, kenergy: 5381.53
Tick: 60, energy: 4969.13, penergy: -412.904, kenergy: 5382.03
Tick: 61, energy: 4969.12, penergy: -413.415, kenergy: 5382.54
Tick: 62, energy: 4969.12, penergy: -413.935, kenergy: 5383.05
Tick: 63, energy: 4969.11, penergy: -414.464, kenergy: 5383.58
Tick: 64, energy: 4969.11, penergy: -415.002, kenergy: 5384.11
Tick: 65, energy: 4969.11, penergy: -415.549, kenergy: 5384.65
Tick: 66, energy: 4969.1, penergy: -416.106, kenergy: 5385.21
Tick: 67, energy: 4969.1, penergy: -416.672, kenergy: 5385.77
Tick: 68, energy: 4969.09, penergy: -417.247, kenergy: 5386.34
Tick: 69, energy: 4969.09, penergy: -417.831, kenergy: 5386.92
Tick: 70, energy: 4969.08, penergy: -418.425, kenergy: 5387.51
Tick: 71, energy: 4969.08, penergy: -419.029, kenergy: 5388.11
Tick: 72, energy: 4969.07, penergy: -419.641, kenergy: 5388.71
Tick: 73, energy: 4969.07, penergy: -420.264, kenergy: 5389.33
Tick: 74, energy: 4969.06, penergy: -420.896, kenergy: 5389.96
Tick: 75, energy: 4969.06, penergy: -421.537, kenergy: 5390.6
Tick: 76, energy: 4969.05, penergy: -422.188, kenergy: 5391.24
Tick: 77, energy: 4969.05, penergy: -422.849, kenergy: 5391.9
Tick: 78, energy: 4969.04, penergy: -423.52, kenergy: 5392.56
Tick: 79, energy: 4969.04, penergy: -424.201, kenergy: 5393.24
Tick: 80, energy: 4969.03, penergy: -424.891, kenergy: 5393.92
Tick: 81, energy: 4969.03, penergy: -425.591, kenergy: 5394.62
Tick: 82, energy: 4969.02, penergy: -426.302, kenergy: 5395.33
Tick: 83, energy: 4969.02, penergy: -427.022, kenergy: 5396.04
Tick: 84, energy: 4969.01, penergy: -427.752, kenergy: 5396.77
Tick: 85, energy: 4969.01, penergy: -428.493, kenergy: 5397.5
Tick: 86, energy: 4969, penergy: -429.244, kenergy: 5398.25
Tick: 87, energy: 4969, penergy: -430.005, kenergy: 5399
Tick: 88, energy: 4968.99, penergy: -430.776, kenergy: 5399.77
Tick: 89, energy: 4968.99, penergy: -431.558, kenergy: 5400.55
Tick: 90, energy: 4968.98, penergy: -432.35, kenergy: 5401.33
Tick: 91, energy: 4968.98, penergy: -433.153, kenergy: 5402.13
Tick: 92, energy: 4968.97, penergy: -433.966, kenergy: 5402.94
Tick: 93, energy: 4968.97, penergy: -434.79, kenergy: 5403.76
Tick: 94, energy: 4968.96, penergy: -435.624, kenergy: 5404.59
Tick: 95, energy: 4968.96, penergy: -436.47, kenergy: 5405.43
Tick: 96, energy: 4968.95, penergy: -437.326, kenergy: 5406.28
Tick: 97, energy: 4968.95, penergy: -438.193, kenergy: 5407.14
Tick: 98, energy: 4968.94, penergy: -439.071, kenergy: 5408.01
Tick: 99, energy: 4968.93, penergy: -439.96, kenergy: 5408.89
Tick: 100, energy: 4968.93, penergy: -440.86, kenergy: 5409.79
Tick: 101, energy: 4968.92, penergy: -441.771, kenergy: 5410.69
Tick: 102, energy: 4968.92, penergy: -442.693, kenergy: 5411.61
Tick: 103, energy: 4968.91, penergy: -443.627, kenergy: 5412.54
Tick: 104, energy: 4968.91, penergy: -444.572, kenergy: 5413.48
Tick: 105, energy: 4968.9, penergy: -445.529, kenergy: 5414.43
Tick: 106, energy: 4968.89, penergy: -446.497, kenergy: 5415.39
Tick: 107, energy: 4968.89, penergy: -447.476, kenergy: 5416.36
Tick: 108, energy: 4968.88, penergy: -448.467, kenergy: 5417.35
Tick: 109, energy: 4968.88, penergy: -449.47, kenergy: 5418.35
Tick: 110, energy: 4968.87, penergy: -450.485, kenergy: 5419.36
Tick: 111, energy: 4968.87, penergy: -451.512, kenergy: 5420.38
Tick: 112, energy: 4968.86, penergy: -452.55, kenergy: 5421.41
Tick: 113, energy: 4968.85, penergy: -453.601, kenergy: 5422.45
Tick: 114, energy: 4968.85, penergy: -454.664, kenergy: 5423.51
Tick: 115, energy: 4968.84, penergy: -455.739, kenergy: 5424.58
Tick: 116, energy: 4968.83, penergy: -456.826, kenergy: 5425.66
Tick: 117, energy: 4968.83, penergy: -457.926, kenergy: 5426.75
Tick: 118, energy: 4968.82, penergy: -459.038, kenergy: 5427.86
Tick: 119, energy: 4968.82, penergy: -460.163, kenergy: 5428.98
Tick: 120, energy: 4968.81, penergy: -461.3, kenergy: 5430.11
Tick: 121, energy: 4968.8, penergy: -462.45, kenergy: 5431.25
Tick: 122, energy: 4968.8, penergy: -463.613, kenergy: 5432.41
