Tick: 0, energy: 2583.42, penergy: -397.707, kenergy: 2981.13
Tick: 1, energy: 2584, penergy: -397.716, kenergy: 2981.72
Tick: 2, energy: 2584, penergy: -397.73, kenergy: 2981.73
Tick: 3, energy: 2584, penergy: -397.748, kenergy: 2981.75
Tick: 4, energy: 2584, penergy: -397.77, kenergy: 2981.77
Tick: 5, energy: 2584, penergy: -397.797, kenergy: 2981.79
Tick: 6, energy: 2583.99, penergy: -397.828, kenergy: 2981.82
Tick: 7, energy: 2583.99, penergy: -397.864, kenergy: 2981.86
Tick: 8, energy: 2583.99, penergy: -397.904, kenergy: 2981.89
Tick: 9, energy: 2583.99, penergy: -397.948, kenergy: 2981.94
Tick: 10, energy: 2583.99, penergy: -397.997, kenergy: 2981.98
Tick: 11, energy: 2583.98, penergy: -398.05, kenergy: 2982.03
Tick: 12, energy: 2583.98, penergy: -398.108, kenergy: 2982.09
Tick: 13, energy: 2583.98, penergy: -398.17, kenergy: 2982.15
Tick: 14, energy: 2583.98, penergy: -398.236, kenergy: 2982.21
Tick: 15, energy: 2583.97, penergy: -398.307, kenergy: 2982.28
Tick: 16, energy: 2583.97, penergy: -398.382, kenergy: 2982.35
Tick: 17, energy: 2583.97, penergy: -398.461, kenergy: 2982.43
Tick: 18, energy: 2583.97, penergy: -398.545, kenergy: 2982.51
Tick: 19, energy: 2583.97, penergy: -398.633, kenergy: 2982.6
Tick: 20, energy: 2583.96, penergy: -398.726, kenergy: 2982.69
Tick: 21, energy: 2583.96, penergy: -398.823, kenergy: 2982.78
Tick: 22, energy: 2583.96, penergy: -398.924, kenergy: 2982.88
Tick: 23, energy: 2583.96, penergy: -399.03, kenergy: 2982.99
Tick: 24, energy: 2583.95, penergy: -399.141, kenergy: 2983.1
Tick: 25, energy: 2583.95, penergy: -399.255, kenergy: 2983.21
Tick: 26, energy: 2583.95, penergy: -399.375, kenergy: 2983.32
Tick: 27, energy: 2583.95, penergy: -399.498, kenergy: 2983.45
Tick: 28, energy: 2583.95, penergy: -399.626, kenergy: 2983.57
Tick: 29, energy: 2583.94, penergy: -399.759, kenergy: 2983.7
Tick: 30, energy: 2583.94, penergy: -399.896, kenergy: 2983.84
Tick: 31, energy: 2583.94, penergy: -400.038, kenergy: 2983.98
Tick: 32, energy: 2583.94, penergy: -400.183, kenergy: 2984.12
Tick: 33, energy: 2583.93, penergy: -400.334, kenergy: 2984.27
Tick: 34, energy: 2583.93, penergy: -400.489, kenergy: 2984.42
Tick: 35, energy: 2583.93, penergy: -400.648, kenergy: 2984.58
Tick: 36, energy: 2583.93, penergy: -400.812, kenergy: 2984.74
Tick: 37, energy: 2583.93, penergy: -400.981, kenergy: 2984.91
Tick: 38, energy: 2583.92, penergy: -401.154, kenergy: 2985.08
Tick: 39, energy: 2583.92, penergy: -401.331, kenergy: 2985.25
Tick: 40, energy: 2583.92, penergy: -401.513, kenergy: 2985.43
Tick: 41, energy: 2583.92, penergy: -401.7, kenergy: 2985.62
Tick: 42, energy: 2583.91, penergy: -401.891, kenergy: 2985.8
Tick: 43, energy: 2583.91, penergy: -402.086, kenergy: 2986
Tick: 44, energy: 2583.91, penergy: -402.287, kenergy: 2986.2
Tick: 45, energy: 2583.91, penergy: -402.491, kenergy: 2986.4
Tick: 46, energy: 2583.9, penergy: -402.701, kenergy: 2986.61
Tick: 47, energy: 2583.9, penergy: -402.915, kenergy: 2986.82
Tick: 48, energy: 2583.9, penergy: -403.133, kenergy: 2987.03
Tick: 49, energy: 2583.9, penergy: -403.357, kenergy: 2987.25
Tick: 50, energy: 2583.9, penergy: -403.584, kenergy: 2987.48
Tick: 51, energy: 2583.89, penergy: -403.817, kenergy: 2987.71
Tick: 52, energy: 2583.89, penergy: -404.054, kenergy: 2987.94
Tick: 53, energy: 2583.89, penergy: -404.296, kenergy: 2988.18
Tick: 54, energy: 2583.89, penergy: -404.542, kenergy: 2988.43
Tick: 55, energy: 2583.88, penergy: -404.793, kenergy: 2988.68
Tick: 56, energy: 2583.88, penergy: -405.049, kenergy: 2988.93
Tick: 57, energy: 2583.88, penergy: -405.309, kenergy: 2989.19
Tick: 58, energy: 2583.88, penergy: -405.575, kenergy: 2989.45
Tick: 59, energy: 2583.87, penergy: -405.845, kenergy: 2989.72
Tick: 60, energy: 2583.87, penergy: -406.119, kenergy: 2989.99
Tick: 61, energy: 2583.87, penergy: -406.399, kenergy: 2990.27
Tick: 62, energy: 2583.87, penergy: -406.683, kenergy: 2990.55
Tick: 63, energy: 2583.87, penergy: -406.972, kenergy: 2990.84
Tick: 64, energy: 2583.86, penergy: -407.266, kenergy: 2991.13
Tick: 65, energy: 2583.86, penergy: -407.564, kenergy: 2991.42
Tick: 66, energy: 2583.86, penergy: -407.867, kenergy: 2991.73
Tick: 67, energy: 2583.86, penergy: -408.176, kenergy: 2992.03
Tick: 68, energy: 2583.85, penergy: -408.489, kenergy: 2992.34
Tick: 69, energy: 2583.85, penergy: -408.807, kenergy: 2992.66
Tick: 70, energy: 2583.85, penergy: -409.129, kenergy: 2992.98
Tick: 71, energy: 2583.85, penergy: -409.457, kenergy: 2993.3
Tick: 72, energy: 2583.84, penergy: -409.789, kenergy: 2993.63
Tick: 73, energy: 2583.84, penergy: -410.127, kenergy: 2993.97
Tick: 74, energy: 2583.84, penergy: -410.469, kenergy: 2994.31
Tick: 75, energy: 2583.84, penergy: -410.817, kenergy: 2994.65
Tick: 76, energy: 2583.83, penergy: -411.169, kenergy: 2995
Tick: 77, energy: 2583.83, penergy: -411.526, kenergy: 2995.36
Tick: 78, energy: 2583.83, penergy: -411.888, kenergy: 2995.72
Tick: 79, energy: 2583.83, penergy: -412.256, kenergy: 2996.08
Tick: 80, energy: 2583.82, penergy: -412.628, kenergy: 2996.45
Tick: 81, energy: 2583.82, penergy: -413.005, kenergy: 2996.83
Tick: 82, energy: 2583.82, penergy: -413.388, kenergy: 2997.21
Tick: 83, energy: 2583.82, penergy: -413.775, kenergy: 2997.59
