Tick: 0, energy: 7949.45, penergy: -397.712, kenergy: 8347.17
Tick: 1, energy: 7951.08, penergy: -397.735, kenergy: 8348.82
Tick: 2, energy: 7951.07, penergy: -397.771, kenergy: 8348.84
Tick: 3, energy: 7951.07, penergy: -397.818, kenergy: 8348.89
Tick: 4, energy: 7951.06, penergy: -397.878, kenergy: 8348.94
Tick: 5, energy: 7951.06, penergy: -397.95, kenergy: 8349.01
Tick: 6, energy: 7951.05, penergy: -398.034, kenergy: 8349.08
Tick: 7, energy: 7951.04, penergy: -398.13, kenergy: 8349.17
Tick: 8, energy: 7951.04, penergy: -398.239, kenergy: 8349.28
Tick: 9, energy: 7951.03, penergy: -398.36, kenergy: 8349.39
Tick: 10, energy: 7951.02, penergy: -398.493, kenergy: 8349.52
Tick: 11, energy: 7951.02, penergy: -398.639, kenergy: 8349.66
Tick: 12, energy: 7951.01, penergy: -398.797, kenergy: 8349.81
Tick: 13, energy: 7951.01, penergy: -398.967, kenergy: 8349.97
Tick: 14, energy: 7951, penergy: -399.149, kenergy: 8350.15
Tick: 15, energy: 7950.99, penergy: -399.344, kenergy: 8350.34
Tick: 16, energy: 7950.99, penergy: -399.551, kenergy: 8350.54
Tick: 17, energy: 7950.98, penergy: -399.771, kenergy: 8350.75
Tick: 18, energy: 7950.98, penergy: -400.003, kenergy: 8350.98
Tick: 19, energy: 7950.97, penergy: -400.248, kenergy: 8351.22
Tick: 20, energy: 7950.96, penergy: -400.505, kenergy: 8351.47
Tick: 21, energy: 7950.96, penergy: -400.775, kenergy: 8351.73
Tick: 22, energy: 7950.95, penergy: -401.057, kenergy: 8352.01
Tick: 23, energy: 7950.94, penergy: -401.352, kenergy: 8352.3
Tick: 24, energy: 7950.94, penergy: -401.659, kenergy: 8352.6
Tick: 25, energy: 7950.93, penergy: -401.979, kenergy: 8352.91
Tick: 26, energy: 7950.92, penergy: -402.312, kenergy: 8353.24
Tick: 27, energy: 7950.92, penergy: -402.658, kenergy: 8353.58
Tick: 28, energy: 7950.91, penergy: -403.016, kenergy: 8353.93
Tick: 29, energy: 7950.91, penergy: -403.387, kenergy: 8354.29
Tick: 30, energy: 7950.9, penergy: -403.771, kenergy: 8354.67
Tick: 31, energy: 7950.89, penergy: -404.168, kenergy: 8355.06
Tick: 32, energy: 7950.89, penergy: -404.578, kenergy: 8355.46
Tick: 33, energy: 7950.88, penergy: -405.001, kenergy: 8355.88
Tick: 34, energy: 7950.87, penergy: -405.437, kenergy: 8356.31
Tick: 35, energy: 7950.87, penergy: -405.886, kenergy: 8356.75
Tick: 36, energy: 7950.86, penergy: -406.349, kenergy: 8357.21
Tick: 37, energy: 7950.85, penergy: -406.824, kenergy: 8357.68
Tick: 38, energy: 7950.85, penergy: -407.313, kenergy: 8358.16
Tick: 39, energy: 7950.84, penergy: -407.815, kenergy: 8358.65
Tick: 40, energy: 7950.83, penergy: -408.33, kenergy: 8359.16
Tick: 41, energy: 7950.83, penergy: -408.859, kenergy: 8359.69
Tick: 42, energy: 7950.82, penergy: -409.402, kenergy: 8360.22
Tick: 43, energy: 7950.81, penergy: -409.958, kenergy: 8360.77
Tick: 44, energy: 7950.81, penergy: -410.527, kenergy: 8361.33
Tick: 45, energy: 7950.8, penergy: -411.11, kenergy: 8361.91
Tick: 46, energy: 7950.79, penergy: -411.707, kenergy: 8362.5
Tick: 47, energy: 7950.79, penergy: -412.318, kenergy: 8363.1
Tick: 48, energy: 7950.78, penergy: -412.943, kenergy: 8363.72
Tick: 49, energy: 7950.77, penergy: -413.582, kenergy: 8364.35
Tick: 50, energy: 7950.76, penergy: -414.234, kenergy: 8365
Tick: 51, energy: 7950.76, penergy: -414.901, kenergy: 8365.66
Tick: 52, energy: 7950.75, penergy: -415.582, kenergy: 8366.33
Tick: 53, energy: 7950.74, penergy: -416.278, kenergy: 8367.02
Tick: 54, energy: 7950.74, penergy: -416.987, kenergy: 8367.72
Tick: 55, energy: 7950.73, penergy: -417.711, kenergy: 8368.44
Tick: 56, energy: 7950.72, penergy: -418.45, kenergy: 8369.17
Tick: 57, energy: 7950.71, penergy: -419.203, kenergy: 8369.92
Tick: 58, energy: 7950.71, penergy: -419.971, kenergy: 8370.68
Tick: 59, energy: 7950.7, penergy: -420.753, kenergy: 8371.45
Tick: 60, energy: 7950.69, penergy: -421.551, kenergy: 8372.24
Tick: 61, energy: 7950.68, penergy: -422.363, kenergy: 8373.05
Tick: 62, energy: 7950.68, penergy: -423.191, kenergy: 8373.87
Tick: 63, energy: 7950.67, penergy: -424.033, kenergy: 8374.7
Tick: 64, energy: 7950.66, penergy: -424.891, kenergy: 8375.55
Tick: 65, energy: 7950.65, penergy: -425.764, kenergy: 8376.42
Tick: 66, energy: 7950.65, penergy: -426.653, kenergy: 8377.3
Tick: 67, energy: 7950.64, penergy: -427.557, kenergy: 8378.2
Tick: 68, energy: 7950.63, penergy: -428.477, kenergy: 8379.11
Tick: 69, energy: 7950.62, penergy: -429.412, kenergy: 8380.03
Tick: 70, energy: 7950.61, penergy: -430.363, kenergy: 8380.98
Tick: 71, energy: 7950.61, penergy: -431.33, kenergy: 8381.94
Tick: 72, energy: 7950.6, penergy: -432.314, kenergy: 8382.91
Tick: 73, energy: 7950.59, penergy: -433.313, kenergy: 8383.9
Tick: 74, energy: 7950.58, penergy: -434.329, kenergy: 8384.91
Tick: 75, energy: 7950.57, penergy: -435.361, kenergy: 8385.94
Tick: 76, energy: 7950.57, penergy: -436.41, kenergy: 8386.98
Tick: 77, energy: 7950.56, penergy: -437.475, kenergy: 8388.03
Tick: 78, energy: 7950.55, penergy: -438.557, kenergy: 8389.11
Tick: 79, energy: 7950.54, penergy: -439.656, kenergy: 8390.2
Tick: 80, energy: 7950.53, penergy: -440.771, kenergy: 8391.3
Tick: 81, energy: 7950.52, penergy: -441.904, kenergy: 8392.43
Tick: 82, energy: 7950.52, penergy: -443.055, kenergy: 8393.57
Tick: 83, energy: 7950.51, penergy: -444.222, kenergy: 8394.73
Tick: 84, energy: 7950.5, penergy: -445.407, kenergy: 8395.91
Tick: 85, energy: 7950.49, penergy: -446.61, kenergy: 8397.1
Tick: 86, energy: 7950.48, penergy: -447.831, kenergy: 8398.31
Tick: 87, energy: 7950.47, penergy: -449.069, kenergy: 8399.54
Tick: 88, energy: 7950.46, penergy: -450.326, kenergy: 8400.79
Tick: 89, energy: 7950.45, penergy: -451.6, kenergy: 8402.05
Tick: 90, energy: 7950.44, penergy: -452.893, kenergy: 8403.34
Tick: 91, energy: 7950.43, penergy: -454.205, kenergy: 8404.64
Tick: 92, energy: 7950.43, penergy: -455.535, kenergy: 8405.96
Tick: 93, energy: 7950.42, penergy: -456.884, kenergy: 8407.3
Tick: 94, energy: 7950.41, penergy: -458.252, kenergy: 8408.66
Tick: 95, energy: 7950.4, penergy: -459.639, kenergy: 8410.04
Tick: 96, energy: 7950.39, penergy: -461.045, kenergy: 8411.43
Tick: 97, energy: 7950.38, penergy: -462.47, kenergy: 8412.85
Tick: 98, energy: 7950.37, penergy: -463.915, kenergy: 8414.28
Tick: 99, energy: 7950.36, penergy: -465.38, kenergy: 8415.74
Tick: 100, energy: 7950.35, penergy: -466.865, kenergy: 8417.21
Tick: 101, energy: 7950.34, penergy: -468.369, kenergy: 8418.71
Tick: 102, energy: 7950.33, penergy: -469.894, kenergy: 8420.22
Tick: 103, energy: 7950.32, penergy: -471.439, kenergy: 8421.76
Tick: 104, energy: 7950.31, penergy: -473.005, kenergy: 8423.31
Tick: 105, energy: 7950.3, penergy: -474.592, kenergy: 8424.89
Tick: 106, energy: 7950.29, penergy: -476.199, kenergy: 8426.48
Tick: 107, energy: 7950.28, penergy: -477.827, kenergy: 8428.1
Tick: 108, energy: 7950.26, penergy: -479.476, kenergy: 8429.74
Tick: 109, energy: 7950.25, penergy: -481.147, kenergy: 8431.4
Tick: 110, energy: 7950.24, penergy: -482.84, kenergy: 8433.08
Tick: 111, energy: 7950.23, penergy: -484.554, kenergy: 8434.79
Tick: 112, energy: 7950.22, penergy: -486.29, kenergy: 8436.51
Tick: 113, energy: 7950.21, penergy: -488.048, kenergy: 8438.26
Tick: 114, energy: 7950.2, penergy: -489.828, kenergy: 8440.03
Tick: 115, energy: 7950.19, penergy: -491.631, kenergy: 8441.82
Tick: 116, energy: 7950.18, penergy: -493.457, kenergy: 8443.63
Tick: 117, energy: 7950.17, penergy: -495.305, kenergy: 8445.47
Tick: 118, energy: 7950.15, penergy: -497.176, kenergy: 8447.33
Tick: 119, energy: 7950.14, penergy: -499.07, kenergy: 8449.21
Tick: 120, energy: 7950.13, penergy: -500.988, kenergy: 8451.12
Tick: 121, energy: 7950.12, penergy: -502.929, kenergy: 8453.05
Tick: 122, energy: 7950.11, penergy: -504.894, kenergy: 8455
Tick: 123, energy: 7950.09, penergy: -506.883, kenergy: 8456.98
Tick: 124, energy: 7950.08, penergy: -508.896, kenergy: 8458.98
Tick: 125, energy: 7950.07, penergy: -510.934, kenergy: 8461
Tick: 126, energy: 7950.06, penergy: -512.995, kenergy: 8463.05
Tick: 127, energy: 7950.05, penergy: -515.082, kenergy: 8465.13
Tick: 128, energy: 7950.03, penergy: -517.193, kenergy: 8467.23
Tick: 129, energy: 7950.02, penergy: -519.329, kenergy: 8469.35
Tick: 130, energy: 7950.01, penergy: -521.49, kenergy: 8471.5
Tick: 131, energy: 7950, penergy: -523.677, kenergy: 8473.67
Tick: 132, energy: 7949.98, penergy: -525.889, kenergy: 8475.87
Tick: 133, energy: 7949.97, penergy: -528.127, kenergy: 8478.1
Tick: 134, energy: 7949.96, penergy: -530.391, kenergy: 8480.35
Tick: 135, energy: 7949.94, penergy: -532.68, kenergy: 8482.62
Tick: 136, energy: 7949.93, penergy: -534.996, kenergy: 8484.93
Tick: 137, energy: 7949.92, penergy: -537.338, kenergy: 8487.26
Tick: 138, energy: 7949.9, penergy: -539.707, kenergy: 8489.61
Tick: 139, energy: 7949.89, penergy: -542.102, kenergy: 8491.99
Tick: 140, energy: 7949.88, penergy: -544.524, kenergy: 8494.4
Tick: 141, energy: 7949.86, penergy: -546.972, kenergy: 8496.84
Tick: 142, energy: 7949.85, penergy: -549.448, kenergy: 8499.3
Tick: 143, energy: 7949.84, penergy: -551.951, kenergy: 8501.79
Tick: 144, energy: 7949.82, penergy: -554.48, kenergy: 8504.3
Tick: 145, energy: 7949.81, penergy: -557.037, kenergy: 8506.85
Tick: 146, energy: 7949.8, penergy: -559.622, kenergy: 8509.42
Tick: 147, energy: 7949.78, penergy: -562.234, kenergy: 8512.02
Tick: 148, energy: 7949.77, penergy: -564.873, kenergy: 8514.64
Tick: 149, energy: 7949.76, penergy: -567.539, kenergy: 8517.29
Tick: 150, energy: 7949.74, penergy: -570.233, kenergy: 8519.97
Tick: 151, energy: 7949.73, penergy: -572.955, kenergy: 8522.68
Tick: 152, energy: 7949.71, penergy: -575.703, kenergy: 8525.42
Tick: 153, energy: 7949.7, penergy: -578.48, kenergy: 8528.18
Tick: 154, energy: 7949.69, penergy: -581.283, kenergy: 8530.97
Tick: 155, energy: 7949.67, penergy: -584.114, kenergy: 8533.79
Tick: 156, energy: 7949.66, penergy: -586.972, kenergy: 8536.63
Tick: 157, energy: 7949.65, penergy: -589.857, kenergy: 8539.5
Tick: 158, energy: 7949.63, penergy: -592.768, kenergy: 8542.4
Tick: 159, energy: 7949.62, penergy: -595.706, kenergy: 8545.33
Tick: 160, energy: 7949.61, penergy: -598.671, kenergy: 8548.28
Tick: 161, energy: 7949.59, penergy: -601.661, kenergy: 8551.25
Tick: 162, energy: 7949.58, penergy: -604.677, kenergy: 8554.26
Tick: 163, energy: 7949.57, penergy: -607.718, kenergy: 8557.29
Tick: 164, energy: 7949.56, penergy: -610.784, kenergy: 8560.34
Tick: 165, energy: 7949.54, penergy: -613.875, kenergy: 8563.42
Tick: 166, energy: 7949.53, penergy: -616.989, kenergy: 8566.52
Tick: 167, energy: 7949.52, penergy: -620.127, kenergy: 8569.65
