Tick: 0, energy: 5564.55, penergy: -397.71, kenergy: 5962.26
Tick: 1, energy: 5565.71, penergy: -397.727, kenergy: 5963.44
Tick: 2, energy: 5565.71, penergy: -397.753, kenergy: 5963.46
Tick: 3, energy: 5565.7, penergy: -397.787, kenergy: 5963.49
Tick: 4, energy: 5565.7, penergy: -397.831, kenergy: 5963.53
Tick: 5, energy: 5565.7, penergy: -397.883, kenergy: 5963.58
Tick: 6, energy: 5565.69, penergy: -397.943, kenergy: 5963.63
Tick: 7, energy: 5565.69, penergy: -398.013, kenergy: 5963.7
Tick: 8, energy: 5565.68, penergy: -398.091, kenergy: 5963.77
Tick: 9, energy: 5565.68, penergy: -398.178, kenergy: 5963.86
Tick: 10, energy: 5565.67, penergy: -398.274, kenergy: 5963.95
Tick: 11, energy: 5565.67, penergy: -398.378, kenergy: 5964.05
Tick: 12, energy: 5565.66, penergy: -398.492, kenergy: 5964.16
Tick: 13, energy: 5565.66, penergy: -398.614, kenergy: 5964.27
Tick: 14, energy: 5565.66, penergy: -398.745, kenergy: 5964.4
Tick: 15, energy: 5565.65, penergy: -398.884, kenergy: 5964.54
Tick: 16, energy: 5565.65, penergy: -399.033, kenergy: 5964.68
Tick: 17, energy: 5565.64, penergy: -399.19, kenergy: 5964.83
Tick: 18, energy: 5565.64, penergy: -399.356, kenergy: 5964.99
Tick: 19, energy: 5565.63, penergy: -399.532, kenergy: 5965.17
Tick: 20, energy: 5565.63, penergy: -399.715, kenergy: 5965.35
Tick: 21, energy: 5565.63, penergy: -399.908, kenergy: 5965.53
Tick: 22, energy: 5565.62, penergy: -400.11, kenergy: 5965.73
Tick: 23, energy: 5565.62, penergy: -400.321, kenergy: 5965.94
Tick: 24, energy: 5565.61, penergy: -400.54, kenergy: 5966.15
Tick: 25, energy: 5565.61, penergy: -400.769, kenergy: 5966.38
Tick: 26, energy: 5565.6, penergy: -401.007, kenergy: 5966.61
Tick: 27, energy: 5565.6, penergy: -401.253, kenergy: 5966.85
Tick: 28, energy: 5565.59, penergy: -401.509, kenergy: 5967.1
Tick: 29, energy: 5565.59, penergy: -401.773, kenergy: 5967.36
Tick: 30, energy: 5565.58, penergy: -402.047, kenergy: 5967.63
Tick: 31, energy: 5565.58, penergy: -402.33, kenergy: 5967.91
Tick: 32, energy: 5565.58, penergy: -402.622, kenergy: 5968.2
Tick: 33, energy: 5565.57, penergy: -402.923, kenergy: 5968.49
