Tick: 0, energy: 4073.99, penergy: -397.708, kenergy: 4471.7
Tick: 1, energy: 4074.86, penergy: -397.722, kenergy: 4472.58
Tick: 2, energy: 4074.86, penergy: -397.741, kenergy: 4472.6
Tick: 3, energy: 4074.85, penergy: -397.768, kenergy: 4472.62
Tick: 4, energy: 4074.85, penergy: -397.801, kenergy: 4472.65
Tick: 5, energy: 4074.85, penergy: -397.84, kenergy: 4472.69
Tick: 6, energy: 4074.84, penergy: -397.886, kenergy: 4472.73
Tick: 7, energy: 4074.84, penergy: -397.939, kenergy: 4472.78
Tick: 8, energy: 4074.84, penergy: -397.998, kenergy: 4472.83
Tick: 9, energy: 4074.83, penergy: -398.064, kenergy: 4472.9
Tick: 10, energy: 4074.83, penergy: -398.136, kenergy: 4472.97
Tick: 11, energy: 4074.83, penergy: -398.215, kenergy: 4473.04
Tick: 12, energy: 4074.82, penergy: -398.3, kenergy: 4473.12
Tick: 13, energy: 4074.82, penergy: -398.392, kenergy: 4473.21
Tick: 14, energy: 4074.82, penergy: -398.491, kenergy: 4473.31
Tick: 15, energy: 4074.81, penergy: -398.596, kenergy: 4473.41
Tick: 16, energy: 4074.81, penergy: -398.708, kenergy: 4473.52
Tick: 17, energy: 4074.81, penergy: -398.826, kenergy: 4473.63
Tick: 18, energy: 4074.8, penergy: -398.951, kenergy: 4473.75
Tick: 19, energy: 4074.8, penergy: -399.083, kenergy: 4473.88
Tick: 20, energy: 4074.8, penergy: -399.221, kenergy: 4474.02
Tick: 21, energy: 4074.79, penergy: -399.366, kenergy: 4474.16
Tick: 22, energy: 4074.79, penergy: -399.518, kenergy: 4474.31
Tick: 23, energy: 4074.79, penergy: -399.676, kenergy: 4474.46
Tick: 24, energy: 4074.78, penergy: -399.841, kenergy: 4474.62
Tick: 25, energy: 4074.78, penergy: -400.013, kenergy: 4474.79
Tick: 26, energy: 4074.78, penergy: -400.191, kenergy: 4474.97
Tick: 27, energy: 4074.77, penergy: -400.376, kenergy: 4475.15
Tick: 28, energy: 4074.77, penergy: -400.568, kenergy: 4475.34
Tick: 29, energy: 4074.77, penergy: -400.766, kenergy: 4475.53
Tick: 30, energy: 4074.76, penergy: -400.971, kenergy: 4475.73
Tick: 31, energy: 4074.76, penergy: -401.183, kenergy: 4475.94
Tick: 32, energy: 4074.76, penergy: -401.402, kenergy: 4476.16
Tick: 33, energy: 4074.75, penergy: -401.628, kenergy: 4476.38
Tick: 34, energy: 4074.75, penergy: -401.86, kenergy: 4476.61
Tick: 35, energy: 4074.75, penergy: -402.099, kenergy: 4476.84
Tick: 36, energy: 4074.74, penergy: -402.345, kenergy: 4477.09
Tick: 37, energy: 4074.74, penergy: -402.598, kenergy: 4477.34
Tick: 38, energy: 4074.74, penergy: -402.858, kenergy: 4477.59
Tick: 39, energy: 4074.73, penergy: -403.124, kenergy: 4477.86
Tick: 40, energy: 4074.73, penergy: -403.398, kenergy: 4478.13
Tick: 41, energy: 4074.73, penergy: -403.678, kenergy: 4478.4
Tick: 42, energy: 4074.72, penergy: -403.965, kenergy: 4478.69
Tick: 43, energy: 4074.72, penergy: -404.26, kenergy: 4478.98
Tick: 44, energy: 4074.71, penergy: -404.561, kenergy: 4479.28
Tick: 45, energy: 4074.71, penergy: -404.869, kenergy: 4479.58
Tick: 46, energy: 4074.71, penergy: -405.184, kenergy: 4479.89
Tick: 47, energy: 4074.7, penergy: -405.507, kenergy: 4480.21
Tick: 48, energy: 4074.7, penergy: -405.836, kenergy: 4480.54
Tick: 49, energy: 4074.7, penergy: -406.172, kenergy: 4480.87
Tick: 50, energy: 4074.69, penergy: -406.516, kenergy: 4481.21
Tick: 51, energy: 4074.69, penergy: -406.866, kenergy: 4481.56
Tick: 52, energy: 4074.69, penergy: -407.224, kenergy: 4481.91
Tick: 53, energy: 4074.68, penergy: -407.589, kenergy: 4482.27
Tick: 54, energy: 4074.68, penergy: -407.961, kenergy: 4482.64
Tick: 55, energy: 4074.68, penergy: -408.341, kenergy: 4483.02
Tick: 56, energy: 4074.67, penergy: -408.727, kenergy: 4483.4
Tick: 57, energy: 4074.67, penergy: -409.121, kenergy: 4483.79
Tick: 58, energy: 4074.66, penergy: -409.522, kenergy: 4484.19
Tick: 59, energy: 4074.66, penergy: -409.93, kenergy: 4484.59
Tick: 60, energy: 4074.66, penergy: -410.346, kenergy: 4485
Tick: 61, energy: 4074.65, penergy: -410.769, kenergy: 4485.42
Tick: 62, energy: 4074.65, penergy: -411.2, kenergy: 4485.85
Tick: 63, energy: 4074.65, penergy: -411.638, kenergy: 4486.28
Tick: 64, energy: 4074.64, penergy: -412.083, kenergy: 4486.73
Tick: 65, energy: 4074.64, penergy: -412.536, kenergy: 4487.17
Tick: 66, energy: 4074.64, penergy: -412.996, kenergy: 4487.63
Tick: 67, energy: 4074.63, penergy: -413.464, kenergy: 4488.1
Tick: 68, energy: 4074.63, penergy: -413.94, kenergy: 4488.57
Tick: 69, energy: 4074.62, penergy: -414.423, kenergy: 4489.05
Tick: 70, energy: 4074.62, penergy: -414.913, kenergy: 4489.53
Tick: 71, energy: 4074.62, penergy: -415.412, kenergy: 4490.03
Tick: 72, energy: 4074.61, penergy: -415.918, kenergy: 4490.53
Tick: 73, energy: 4074.61, penergy: -416.432, kenergy: 4491.04
Tick: 74, energy: 4074.6, penergy: -416.953, kenergy: 4491.56
Tick: 75, energy: 4074.6, penergy: -417.483, kenergy: 4492.08
Tick: 76, energy: 4074.6, penergy: -418.02, kenergy: 4492.62
Tick: 77, energy: 4074.59, penergy: -418.565, kenergy: 4493.16
Tick: 78, energy: 4074.59, penergy: -419.118, kenergy: 4493.71
Tick: 79, energy: 4074.58, penergy: -419.678, kenergy: 4494.26
Tick: 80, energy: 4074.58, penergy: -420.247, kenergy: 4494.83
Tick: 81, energy: 4074.58, penergy: -420.824, kenergy: 4495.4
Tick: 82, energy: 4074.57, penergy: -421.409, kenergy: 4495.98
Tick: 83, energy: 4074.57, penergy: -422.002, kenergy: 4496.57
Tick: 84, energy: 4074.56, penergy: -422.603, kenergy: 4497.17
Tick: 85, energy: 4074.56, penergy: -423.212, kenergy: 4497.77
Tick: 86, energy: 4074.56, penergy: -423.83, kenergy: 4498.39
Tick: 87, energy: 4074.55, penergy: -424.455, kenergy: 4499.01
Tick: 88, energy: 4074.55, penergy: -425.089, kenergy: 4499.64
Tick: 89, energy: 4074.54, penergy: -425.731, kenergy: 4500.28
Tick: 90, energy: 4074.54, penergy: -426.382, kenergy: 4500.92
Tick: 91, energy: 4074.54, penergy: -427.041, kenergy: 4501.58
Tick: 92, energy: 4074.53, penergy: -427.709, kenergy: 4502.24
Tick: 93, energy: 4074.53, penergy: -428.385, kenergy: 4502.91
Tick: 94, energy: 4074.52, penergy: -429.069, kenergy: 4503.59
Tick: 95, energy: 4074.52, penergy: -429.762, kenergy: 4504.28
Tick: 96, energy: 4074.51, penergy: -430.464, kenergy: 4504.98
Tick: 97, energy: 4074.51, penergy: -431.174, kenergy: 4505.68
Tick: 98, energy: 4074.51, penergy: -431.893, kenergy: 4506.4
Tick: 99, energy: 4074.5, penergy: -432.621, kenergy: 4507.12
Tick: 100, energy: 4074.5, penergy: -433.358, kenergy: 4507.85
Tick: 101, energy: 4074.49, penergy: -434.104, kenergy: 4508.6
Tick: 102, energy: 4074.49, penergy: -434.858, kenergy: 4509.35
Tick: 103, energy: 4074.48, penergy: -435.621, kenergy: 4510.1
Tick: 104, energy: 4074.48, penergy: -436.394, kenergy: 4510.87
Tick: 105, energy: 4074.47, penergy: -437.175, kenergy: 4511.65
Tick: 106, energy: 4074.47, penergy: -437.966, kenergy: 4512.44
Tick: 107, energy: 4074.47, penergy: -438.766, kenergy: 4513.23
Tick: 108, energy: 4074.46, penergy: -439.575, kenergy: 4514.04
Tick: 109, energy: 4074.46, penergy: -440.393, kenergy: 4514.85
Tick: 110, energy: 4074.45, penergy: -441.221, kenergy: 4515.67
Tick: 111, energy: 4074.45, penergy: -442.058, kenergy: 4516.5
Tick: 112, energy: 4074.44, penergy: -442.904, kenergy: 4517.35
Tick: 113, energy: 4074.44, penergy: -443.76, kenergy: 4518.2
Tick: 114, energy: 4074.43, penergy: -444.626, kenergy: 4519.06
Tick: 115, energy: 4074.43, penergy: -445.501, kenergy: 4519.93
Tick: 116, energy: 4074.42, penergy: -446.385, kenergy: 4520.81
Tick: 117, energy: 4074.42, penergy: -447.28, kenergy: 4521.7
Tick: 118, energy: 4074.41, penergy: -448.184, kenergy: 4522.6
Tick: 119, energy: 4074.41, penergy: -449.098, kenergy: 4523.51
Tick: 120, energy: 4074.4, penergy: -450.022, kenergy: 4524.43
Tick: 121, energy: 4074.4, penergy: -450.956, kenergy: 4525.35
Tick: 122, energy: 4074.39, penergy: -451.9, kenergy: 4526.29
Tick: 123, energy: 4074.39, penergy: -452.854, kenergy: 4527.24
Tick: 124, energy: 4074.38, penergy: -453.818, kenergy: 4528.2
Tick: 125, energy: 4074.38, penergy: -454.793, kenergy: 4529.17
Tick: 126, energy: 4074.37, penergy: -455.778, kenergy: 4530.15
Tick: 127, energy: 4074.37, penergy: -456.773, kenergy: 4531.14
Tick: 128, energy: 4074.36, penergy: -457.778, kenergy: 4532.14
Tick: 129, energy: 4074.36, penergy: -458.794, kenergy: 4533.15
Tick: 130, energy: 4074.35, penergy: -459.82, kenergy: 4534.17
Tick: 131, energy: 4074.35, penergy: -460.858, kenergy: 4535.2
Tick: 132, energy: 4074.34, penergy: -461.905, kenergy: 4536.25
Tick: 133, energy: 4074.34, penergy: -462.964, kenergy: 4537.3
Tick: 134, energy: 4074.33, penergy: -464.033, kenergy: 4538.36
Tick: 135, energy: 4074.32, penergy: -465.114, kenergy: 4539.44
Tick: 136, energy: 4074.32, penergy: -466.205, kenergy: 4540.52
Tick: 137, energy: 4074.31, penergy: -467.307, kenergy: 4541.62
Tick: 138, energy: 4074.31, penergy: -468.42, kenergy: 4542.73
Tick: 139, energy: 4074.3, penergy: -469.545, kenergy: 4543.85
Tick: 140, energy: 4074.3, penergy: -470.681, kenergy: 4544.98
Tick: 141, energy: 4074.29, penergy: -471.828, kenergy: 4546.12
Tick: 142, energy: 4074.29, penergy: -472.986, kenergy: 4547.27
Tick: 143, energy: 4074.28, penergy: -474.156, kenergy: 4548.44
Tick: 144, energy: 4074.27, penergy: -475.338, kenergy: 4549.61
Tick: 145, energy: 4074.27, penergy: -476.531, kenergy: 4550.8
Tick: 146, energy: 4074.26, penergy: -477.736, kenergy: 4552
Tick: 147, energy: 4074.26, penergy: -478.953, kenergy: 4553.21
Tick: 148, energy: 4074.25, penergy: -480.182, kenergy: 4554.43
Tick: 149, energy: 4074.24, penergy: -481.422, kenergy: 4555.67
Tick: 150, energy: 4074.24, penergy: -482.675, kenergy: 4556.91
Tick: 151, energy: 4074.23, penergy: -483.94, kenergy: 4558.17
Tick: 152, energy: 4074.23, penergy: -485.217, kenergy: 4559.44
Tick: 153, energy: 4074.22, penergy: -486.506, kenergy: 4560.73
Tick: 154, energy: 4074.21, penergy: -487.807, kenergy: 4562.02
Tick: 155, energy: 4074.21, penergy: -489.121, kenergy: 4563.33
Tick: 156, energy: 4074.2, penergy: -490.448, kenergy: 4564.65
Tick: 157, energy: 4074.19, penergy: -491.787, kenergy: 4565.98
Tick: 158, energy: 4074.19, penergy: -493.139, kenergy: 4567.33
Tick: 159, energy: 4074.18, penergy: -494.504, kenergy: 4568.69
Tick: 160, energy: 4074.18, penergy: -495.881, kenergy: 4570.06
Tick: 161, energy: 4074.17, penergy: -497.272, kenergy: 4571.44
Tick: 162, energy: 4074.16, penergy: -498.675, kenergy: 4572.84
Tick: 163, energy: 4074.16, penergy: -500.092, kenergy: 4574.25
Tick: 164, energy: 4074.15, penergy: -501.522, kenergy: 4575.67
Tick: 165, energy: 4074.14, penergy: -502.965, kenergy: 4577.11
Tick: 166, energy: 4074.14, penergy: -504.422, kenergy: 4578.56
Tick: 167, energy: 4074.13, penergy: -505.892, kenergy: 4580.02
Tick: 168, energy: 4074.12, penergy: -507.376, kenergy: 4581.5
Tick: 169, energy: 4074.12, penergy: -508.874, kenergy: 4582.99
