Tick: 90, energy: 10037.5, penergy: -467.875, kenergy: 10505.3
Tick: 91, energy: 10037.4, penergy: -469.57, kenergy: 10507
Tick: 92, energy: 10037.4, penergy: -471.291, kenergy: 10508.7
Tick: 93, energy: 10037.4, penergy: -473.036, kenergy: 10510.5
Tick: 94, energy: 10037.4, penergy: -474.808, kenergy: 10512.2
Tick: 95, energy: 10037.4, penergy: -476.605, kenergy: 10514
Tick: 96, energy: 10037.4, penergy: -478.429, kenergy: 10515.8
Tick: 97, energy: 10037.4, penergy: -480.279, kenergy: 10517.6
Tick: 98, energy: 10037.3, penergy: -482.155, kenergy: 10519.5
Tick: 99, energy: 10037.3, penergy: -484.058, kenergy: 10521.4
Tick: 100, energy: 10037.3, penergy: -485.988, kenergy: 10523.3
Tick: 101, energy: 10037.3, penergy: -487.946, kenergy: 10525.3
Tick: 102, energy: 10037.3, penergy: -489.931, kenergy: 10527.2
Tick: 103, energy: 10037.3, penergy: -491.943, kenergy: 10529.2
Tick: 104, energy: 10037.3, penergy: -493.984, kenergy: 10531.3
Tick: 105, energy: 10037.3, penergy: -496.053, kenergy: 10533.3
Tick: 106, energy: 10037.2, penergy: -498.151, kenergy: 10535.4
Tick: 107, energy: 10037.2, penergy: -500.277, kenergy: 10537.5
Tick: 108, energy: 10037.2, penergy: -502.432, kenergy: 10539.6
Tick: 109, energy: 10037.2, penergy: -504.617, kenergy: 10541.8
Tick: 110, energy: 10037.2, penergy: -506.831, kenergy: 10544
Tick: 111, energy: 10037.2, penergy: -509.074, kenergy: 10546.2
Tick: 112, energy: 10037.2, penergy: -511.348, kenergy: 10548.5
Tick: 113, energy: 10037.1, penergy: -513.652, kenergy: 10550.8
Tick: 114, energy: 10037.1, penergy: -515.986, kenergy: 10553.1
Tick: 115, energy: 10037.1, penergy: -518.351, kenergy: 10555.5
Tick: 116, energy: 10037.1, penergy: -520.747, kenergy: 10557.8
Tick: 117, energy: 10037.1, penergy: -523.173, kenergy: 10560.2
Tick: 118, energy: 10037.1, penergy: -525.632, kenergy: 10562.7
Tick: 119, energy: 10037, penergy: -528.121, kenergy: 10565.2
Tick: 120, energy: 10037, penergy: -530.643, kenergy: 10567.7
Tick: 121, energy: 10037, penergy: -533.196, kenergy: 10570.2
Tick: 122, energy: 10037, penergy: -535.782, kenergy: 10572.8
Tick: 123, energy: 10037, penergy: -538.4, kenergy: 10575.4
Tick: 124, energy: 10037, penergy: -541.051, kenergy: 10578
Tick: 125, energy: 10036.9, penergy: -543.734, kenergy: 10580.7
Tick: 126, energy: 10036.9, penergy: -546.45, kenergy: 10583.4
Tick: 127, energy: 10036.9, penergy: -549.199, kenergy: 10586.1
Tick: 128, energy: 10036.9, penergy: -551.981, kenergy: 10588.9
Tick: 129, energy: 10036.9, penergy: -554.797, kenergy: 10591.7
Tick: 130, energy: 10036.9, penergy: -557.646, kenergy: 10594.5
Tick: 131, energy: 10036.8, penergy: -560.528, kenergy: 10597.4
Tick: 132, energy: 10036.8, penergy: -563.443, kenergy: 10600.3
Tick: 133, energy: 10036.8, penergy: -566.393, kenergy: 10603.2
Tick: 134, energy: 10036.8, penergy: -569.376, kenergy: 10606.2
Tick: 135, energy: 10036.8, penergy: -572.392, kenergy: 10609.2
Tick: 136, energy: 10036.8, penergy: -575.442, kenergy: 10612.2
Tick: 137, energy: 10036.7, penergy: -578.525, kenergy: 10615.3
Tick: 138, energy: 10036.7, penergy: -581.641, kenergy: 10618.4
Tick: 139, energy: 10036.7, penergy: -584.791, kenergy: 10621.5
Tick: 140, energy: 10036.7, penergy: -587.973, kenergy: 10624.7
Tick: 141, energy: 10036.7, penergy: -591.189, kenergy: 10627.9
Tick: 142, energy: 10036.7, penergy: -594.436, kenergy: 10631.1
Tick: 143, energy: 10036.6, penergy: -597.716, kenergy: 10634.4
Tick: 144, energy: 10036.6, penergy: -601.028, kenergy: 10637.7
Tick: 145, energy: 10036.6, penergy: -604.37, kenergy: 10641
Tick: 146, energy: 10036.6, penergy: -607.744, kenergy: 10644.3
Tick: 147, energy: 10036.6, penergy: -611.147, kenergy: 10647.7
Tick: 148, energy: 10036.6, penergy: -614.58, kenergy: 10651.2
Tick: 149, energy: 10036.6, penergy: -618.042, kenergy: 10654.6
Tick: 150, energy: 10036.5, penergy: -621.532, kenergy: 10658.1
Tick: 151, energy: 10036.5, penergy: -625.048, kenergy: 10661.6
Tick: 152, energy: 10036.5, penergy: -628.591, kenergy: 10665.1
Tick: 153, energy: 10036.5, penergy: -632.158, kenergy: 10668.7
Tick: 154, energy: 10036.5, penergy: -635.748, kenergy: 10672.2
Tick: 155, energy: 10036.5, penergy: -639.36, kenergy: 10675.8
Tick: 156, energy: 10036.5, penergy: -642.993, kenergy: 10679.5
Tick: 157, energy: 10036.5, penergy: -646.644, kenergy: 10683.1
Tick: 158, energy: 10036.5, penergy: -650.313, kenergy: 10686.8
Tick: 159, energy: 10036.4, penergy: -653.995, kenergy: 10690.4
Tick: 160, energy: 10036.4, penergy: -657.691, kenergy: 10694.1
Tick: 161, energy: 10036.4, penergy: -661.396, kenergy: 10697.8
Tick: 162, energy: 10036.4, penergy: -665.108, kenergy: 10701.5
Tick: 163, energy: 10036.4, penergy: -668.825, kenergy: 10705.3
Tick: 164, energy: 10036.4, penergy: -672.543, kenergy: 10709
Tick: 165, energy: 10036.4, penergy: -676.258, kenergy: 10712.7
Tick: 166, energy: 10036.4, penergy: -679.968, kenergy: 10716.4
Tick: 167, energy: 10036.4, penergy: -683.667, kenergy: 10720.1
Tick: 168, energy: 10036.5, penergy: -687.352, kenergy: 10723.8
Tick: 169, energy: 10036.5, penergy: -691.017, kenergy: 10727.5
Tick: 170, energy: 10036.5, penergy: -694.659, kenergy: 10731.1
Tick: 171, energy: 10036.5, penergy: -698.271, kenergy: 10734.8
Tick: 172, energy: 10036.5, penergy: -701.847, kenergy: 10738.4
Tick: 173, energy: 10036.5, penergy: -705.382, kenergy: 10741.9
Tick: 174, energy: 10036.6, penergy: -708.868, kenergy: 10745.4
Tick: 175, energy: 10036.6, penergy: -712.299, kenergy: 10748.9
Tick: 176, energy: 10036.6, penergy: -715.668, kenergy: 10752.3
Tick: 177, energy: 10036.7, penergy: -718.965, kenergy: 10755.6
Tick: 178, energy: 10036.7, penergy: -722.184, kenergy: 10758.9
Tick: 179, energy: 10036.7, penergy: -725.314, kenergy: 10762.1
Tick: 180, energy: 10036.8, penergy: -728.348, kenergy: 10765.1
Tick: 181, energy: 10036.8, penergy: -731.275, kenergy: 10768.1
Tick: 182, energy: 10036.9, penergy: -734.084, kenergy: 10771
Tick: 183, energy: 10037, penergy: -736.767, kenergy: 10773.7
Tick: 184, energy: 10037, penergy: -739.312, kenergy: 10776.4
Tick: 185, energy: 10037.1, penergy: -741.709, kenergy: 10778.8
Tick: 186, energy: 10037.2, penergy: -743.946, kenergy: 10781.1
Tick: 187, energy: 10037.3, penergy: -746.012, kenergy: 10783.3
Tick: 188, energy: 10037.4, penergy: -747.896, kenergy: 10785.3
Tick: 189, energy: 10037.5, penergy: -749.588, kenergy: 10787.1
Tick: 190, energy: 10037.6, penergy: -751.076, kenergy: 10788.7
Tick: 191, energy: 10037.7, penergy: -752.35, kenergy: 10790
Tick: 192, energy: 10037.8, penergy: -753.4, kenergy: 10791.2
Tick: 193, energy: 10037.9, penergy: -754.216, kenergy: 10792.1
Tick: 194, energy: 10038.1, penergy: -754.791, kenergy: 10792.8
Tick: 195, energy: 10038.2, penergy: -755.116, kenergy: 10793.3
Tick: 196, energy: 10038.3, penergy: -755.184, kenergy: 10793.5
Tick: 197, energy: 10038.4, penergy: -754.99, kenergy: 10793.4
Tick: 198, energy: 10038.6, penergy: -754.529, kenergy: 10793.1
Tick: 199, energy: 10038.7, penergy: -753.797, kenergy: 10792.5
Tick: 200, energy: 10038.8, penergy: -752.793, kenergy: 10791.6
Tick: 201, energy: 10039, penergy: -751.515, kenergy: 10790.5
Tick: 202, energy: 10039.1, penergy: -749.964, kenergy: 10789.1
Tick: 203, energy: 10039.3, penergy: -748.142, kenergy: 10787.4
Tick: 204, energy: 10039.4, penergy: -746.052, kenergy: 10785.4
Tick: 205, energy: 10039.5, penergy: -743.699, kenergy: 10783.2
Tick: 206, energy: 10039.7, penergy: -741.09, kenergy: 10780.7
Tick: 207, energy: 10039.8, penergy: -738.232, kenergy: 10778
Tick: 208, energy: 10039.9, penergy: -735.135, kenergy: 10775
Tick: 209, energy: 10040, penergy: -731.81, kenergy: 10771.8
Tick: 210, energy: 10040.1, penergy: -728.27, kenergy: 10768.4
Tick: 211, energy: 10040.2, penergy: -724.53, kenergy: 10764.8
Tick: 212, energy: 10040.3, penergy: -720.606, kenergy: 10760.9
Tick: 213, energy: 10040.4, penergy: -716.516, kenergy: 10756.9
Tick: 214, energy: 10040.5, penergy: -712.281, kenergy: 10752.7
Tick: 215, energy: 10040.5, penergy: -707.921, kenergy: 10748.4
Tick: 216, energy: 10040.6, penergy: -703.46, kenergy: 10744
Tick: 217, energy: 10040.6, penergy: -698.921, kenergy: 10739.5
Tick: 218, energy: 10040.6, penergy: -694.33, kenergy: 10735
Tick: 219, energy: 10040.6, penergy: -689.715, kenergy: 10730.4
Tick: 220, energy: 10040.6, penergy: -685.101, kenergy: 10725.7
Tick: 221, energy: 10040.6, penergy: -680.516, kenergy: 10721.1
Tick: 222, energy: 10040.6, penergy: -675.99, kenergy: 10716.6
Tick: 223, energy: 10040.5, penergy: -671.55, kenergy: 10712.1
Tick: 224, energy: 10040.5, penergy: -667.226, kenergy: 10707.7
Tick: 225, energy: 10040.4, penergy: -663.045, kenergy: 10703.5
Tick: 226, energy: 10040.3, penergy: -659.035, kenergy: 10699.4
Tick: 227, energy: 10040.2, penergy: -655.225, kenergy: 10695.4
Tick: 228, energy: 10040.1, penergy: -651.64, kenergy: 10691.7
Tick: 229, energy: 10040, penergy: -648.306, kenergy: 10688.3
Tick: 230, energy: 10039.8, penergy: -645.247, kenergy: 10685.1
Tick: 231, energy: 10039.7, penergy: -642.483, kenergy: 10682.2
Tick: 232, energy: 10039.5, penergy: -640.035, kenergy: 10679.6
Tick: 233, energy: 10039.4, penergy: -637.919, kenergy: 10677.3
Tick: 234, energy: 10039.2, penergy: -636.149, kenergy: 10675.3
Tick: 235, energy: 10039, penergy: -634.736, kenergy: 10673.7
Tick: 236, energy: 10038.8, penergy: -633.688, kenergy: 10672.5
