Tick: 0, energy: 8545.68, penergy: -397.713, kenergy: 8943.39
Tick: 1, energy: 8547.42, penergy: -397.738, kenergy: 8945.16
Tick: 2, energy: 8547.41, penergy: -397.775, kenergy: 8945.19
Tick: 3, energy: 8547.41, penergy: -397.826, kenergy: 8945.23
Tick: 4, energy: 8547.4, penergy: -397.89, kenergy: 8945.29
Tick: 5, energy: 8547.4, penergy: -397.967, kenergy: 8945.36
Tick: 6, energy: 8547.39, penergy: -398.057, kenergy: 8945.45
Tick: 7, energy: 8547.38, penergy: -398.16, kenergy: 8945.54
Tick: 8, energy: 8547.38, penergy: -398.276, kenergy: 8945.65
Tick: 9, energy: 8547.37, penergy: -398.405, kenergy: 8945.77
Tick: 10, energy: 8547.36, penergy: -398.548, kenergy: 8945.91
Tick: 11, energy: 8547.36, penergy: -398.704, kenergy: 8946.06
Tick: 12, energy: 8547.35, penergy: -398.873, kenergy: 8946.22
Tick: 13, energy: 8547.34, penergy: -399.055, kenergy: 8946.4
Tick: 14, energy: 8547.34, penergy: -399.25, kenergy: 8946.59
Tick: 15, energy: 8547.33, penergy: -399.459, kenergy: 8946.79
Tick: 16, energy: 8547.32, penergy: -399.681, kenergy: 8947
Tick: 17, energy: 8547.32, penergy: -399.916, kenergy: 8947.23
Tick: 18, energy: 8547.31, penergy: -400.165, kenergy: 8947.47
Tick: 19, energy: 8547.3, penergy: -400.427, kenergy: 8947.73
Tick: 20, energy: 8547.3, penergy: -400.702, kenergy: 8948
Tick: 21, energy: 8547.29, penergy: -400.991, kenergy: 8948.28
Tick: 22, energy: 8547.28, penergy: -401.294, kenergy: 8948.58
Tick: 23, energy: 8547.28, penergy: -401.61, kenergy: 8948.89
Tick: 24, energy: 8547.27, penergy: -401.939, kenergy: 8949.21
Tick: 25, energy: 8547.26, penergy: -402.282, kenergy: 8949.54
Tick: 26, energy: 8547.26, penergy: -402.639, kenergy: 8949.89
Tick: 27, energy: 8547.25, penergy: -403.009, kenergy: 8950.26
Tick: 28, energy: 8547.24, penergy: -403.394, kenergy: 8950.63
Tick: 29, energy: 8547.23, penergy: -403.792, kenergy: 8951.03
Tick: 30, energy: 8547.23, penergy: -404.203, kenergy: 8951.43
Tick: 31, energy: 8547.22, penergy: -404.629, kenergy: 8951.85
Tick: 32, energy: 8547.21, penergy: -405.069, kenergy: 8952.28
Tick: 33, energy: 8547.21, penergy: -405.522, kenergy: 8952.73
Tick: 34, energy: 8547.2, penergy: -405.99, kenergy: 8953.19
Tick: 35, energy: 8547.19, penergy: -406.472, kenergy: 8953.66
Tick: 36, energy: 8547.19, penergy: -406.968, kenergy: 8954.15
Tick: 37, energy: 8547.18, penergy: -407.478, kenergy: 8954.66
